plate_number,starting_price,current_offer,time_to_go,offers_number
TI 115,N/A,SFr. 21'500, 10.05.2026,7
TI 11062,N/A,SFr. 1'200, 03.05.2026,3
TI 25725,N/A,SFr. 700, 03.05.2026,1
TI 273732,N/A,SFr. 600, 10.05.2026,0
TI 35940,SFr. 450,N/A,N/A,N/A
TI 46914,SFr. 450,N/A,N/A,N/A
TI 47896,SFr. 400,N/A,N/A,N/A
TI 62518,SFr. 350,N/A,N/A,N/A
TI 65719,SFr. 350,N/A,N/A,N/A
TI 74851,SFr. 300,N/A,N/A,N/A
TI 92719,SFr. 350,N/A,N/A,N/A
TI 98674,SFr. 300,N/A,N/A,N/A
TI 111457,SFr. 200,N/A,N/A,N/A
TI 209333,SFr. 200,N/A,N/A,N/A
