plate_number,starting_price,current_offer,time_to_go,offers_number
TI 281,N/A,SFr. 8'600, 10.06.2026,3
TI 322225,N/A,SFr. 600, 10.06.2026,0
TI 47896,SFr. 400,N/A,N/A,N/A
TI 63846,SFr. 400,N/A,N/A,N/A
TI 76628,SFr. 400,N/A,N/A,N/A
