plate_number,starting_price,current_offer,time_to_go,offers_number
TI 498,N/A,SFr. 9'100, 21.06.2026,5
TI 14407,N/A,SFr. 950, 14.06.2026,2
TI 99952,N/A,SFr. 650, 14.06.2026,2
TI 116166,N/A,SFr. 600, 21.06.2026,0
TI 43698,SFr. 400,N/A,N/A,N/A
TI 47896,SFr. 400,N/A,N/A,N/A
TI 59867,SFr. 350,N/A,N/A,N/A
TI 63846,SFr. 400,N/A,N/A,N/A
TI 72189,SFr. 300,N/A,N/A,N/A
TI 76628,SFr. 400,N/A,N/A,N/A
TI 96829,SFr. 350,N/A,N/A,N/A
TI 111932,SFr. 200,N/A,N/A,N/A
