plate_number,starting_price,current_offer,time_to_go,offers_number
TI 734,N/A,SFr. 14'000, 02.08.2026,8
TI 4296,N/A,SFr. 5'500, 26.07.2026,14
TI 10136,N/A,SFr. 900, 02.08.2026,1
TI 91180,N/A,SFr. 1'450, 26.07.2026,6
TI 43698,SFr. 400,N/A,N/A,N/A
TI 47896,SFr. 400,N/A,N/A,N/A
TI 59867,SFr. 350,N/A,N/A,N/A
TI 63846,SFr. 400,N/A,N/A,N/A
TI 72189,SFr. 300,N/A,N/A,N/A
TI 76628,SFr. 400,N/A,N/A,N/A
TI 96829,SFr. 350,N/A,N/A,N/A
TI 111932,SFr. 200,N/A,N/A,N/A
