plate_number,starting_price,current_offer,time_to_go,offers_number
TI 281,N/A,SFr. 3'000, 23.09.2026,0
TI 10218,N/A,SFr. 850, 16.09.2026,2
TI 13457,N/A,SFr. 800, 14.09.2026,0
TI 39992,N/A,SFr. 800, 23.09.2026,0
TI 139391,N/A,SFr. 600, 16.09.2026,0
TI 43698,SFr. 400,N/A,N/A,N/A
TI 47896,SFr. 400,N/A,N/A,N/A
TI 59867,SFr. 350,N/A,N/A,N/A
TI 63846,SFr. 400,N/A,N/A,N/A
TI 72189,SFr. 300,N/A,N/A,N/A
TI 76628,SFr. 400,N/A,N/A,N/A
TI 96829,SFr. 350,N/A,N/A,N/A
TI 111932,SFr. 200,N/A,N/A,N/A
