plate_number,starting_price,min_increment,current_offer,time_to_go,offers_number
472,3'000,100,8'900,9 giorni 00:01:30,5
10614,3'000,50,1'000,2 giorni 00:01:29,2
42911,800,50,1'150,2 giorni 00:01:29,6
329999,800,50,600,9 giorni 00:01:29,1
22731,800,N/A,N/A,N/A,N/A
29873,800,N/A,N/A,N/A,N/A
38724,600,N/A,N/A,N/A,N/A
47651,600,N/A,N/A,N/A,N/A
52163,600,N/A,N/A,N/A,N/A
62107,550,N/A,N/A,N/A,N/A
94208,450,N/A,N/A,N/A,N/A
98749,400,N/A,N/A,N/A,N/A
111982,350,N/A,N/A,N/A,N/A
