plate_number,starting_price,current_offer,time_to_go,offers_number
TI 115,N/A,SFr. 24'000, 10.05.2026,11
TI 10243,N/A,SFr. 800, 13.05.2026,1
TI 10638,N/A,SFr. 900, 13.05.2026,2
TI 22990,N/A,SFr. 950, 13.05.2026,3
TI 273732,N/A,SFr. 600, 10.05.2026,0
TI 20671,SFr. 550,N/A,N/A,N/A
TI 32468,SFr. 450,N/A,N/A,N/A
TI 37250,SFr. 450,N/A,N/A,N/A
TI 46914,SFr. 450,N/A,N/A,N/A
TI 47896,SFr. 400,N/A,N/A,N/A
TI 50936,SFr. 350,N/A,N/A,N/A
TI 55471,SFr. 400,N/A,N/A,N/A
TI 63846,SFr. 400,N/A,N/A,N/A
TI 65391,SFr. 350,N/A,N/A,N/A
TI 70932,SFr. 300,N/A,N/A,N/A
TI 79801,SFr. 300,N/A,N/A,N/A
TI 92719,SFr. 350,N/A,N/A,N/A
TI 111856,SFr. 200,N/A,N/A,N/A
TI 136555,SFr. 200,N/A,N/A,N/A
TI 216777,SFr. 200,N/A,N/A,N/A
