plate_number,starting_price,current_offer,time_to_go,offers_number
TI 734,N/A,SFr. 14'000, 02.08.2026,8
TI 10136,N/A,SFr. 1'000, 02.08.2026,3
TI 78789,N/A,SFr. 850, 05.08.2026,1
TI 206602,N/A,SFr. 650, 05.08.2026,1
TI 43698,SFr. 400,N/A,N/A,N/A
TI 47896,SFr. 400,N/A,N/A,N/A
TI 59867,SFr. 350,N/A,N/A,N/A
TI 63846,SFr. 400,N/A,N/A,N/A
TI 72189,SFr. 300,N/A,N/A,N/A
TI 76628,SFr. 400,N/A,N/A,N/A
TI 96829,SFr. 350,N/A,N/A,N/A
TI 111932,SFr. 200,N/A,N/A,N/A
