plate_number,starting_price,current_offer,time_to_go,offers_number
TI 836,N/A,SFr. 10'100, 31.05.2026,5
TI 10413,N/A,SFr. 800, 01.06.2026,1
TI 29329,N/A,SFr. 650, 01.06.2026,1
TI 267777,N/A,SFr. 650, 31.05.2026,2
TI 39487,SFr. 450,N/A,N/A,N/A
TI 46914,SFr. 450,N/A,N/A,N/A
TI 47896,SFr. 400,N/A,N/A,N/A
TI 51809,SFr. 350,N/A,N/A,N/A
TI 63846,SFr. 400,N/A,N/A,N/A
TI 65391,SFr. 350,N/A,N/A,N/A
TI 76628,SFr. 400,N/A,N/A,N/A
TI 97169,SFr. 350,N/A,N/A,N/A
