plate_number,starting_price,current_offer,time_to_go,offers_number
TI 375,N/A,SFr. 8'500, 12.08.2026,7
TI 14270,N/A,SFr. 800, 12.08.2026,0
TI 78789,N/A,SFr. 900, 05.08.2026,2
TI 206602,N/A,SFr. 650, 05.08.2026,1
TI 43698,SFr. 400,N/A,N/A,N/A
TI 47896,SFr. 400,N/A,N/A,N/A
TI 59867,SFr. 350,N/A,N/A,N/A
TI 63846,SFr. 400,N/A,N/A,N/A
TI 72189,SFr. 300,N/A,N/A,N/A
TI 76628,SFr. 400,N/A,N/A,N/A
TI 96829,SFr. 350,N/A,N/A,N/A
TI 111932,SFr. 200,N/A,N/A,N/A
