plate_number,starting_price,current_offer,time_to_go,offers_number
TI 836,N/A,SFr. 10'000, 31.05.2026,4
TI 6880,N/A,SFr. 9'000, 24.05.2026,13
TI 58585,N/A,SFr. 1'700, 24.05.2026,8
TI 267777,N/A,SFr. 650, 31.05.2026,2
TI 28791,SFr. 550,N/A,N/A,N/A
TI 39487,SFr. 450,N/A,N/A,N/A
TI 46914,SFr. 450,N/A,N/A,N/A
TI 47896,SFr. 400,N/A,N/A,N/A
TI 51809,SFr. 350,N/A,N/A,N/A
TI 59086,SFr. 350,N/A,N/A,N/A
TI 63846,SFr. 400,N/A,N/A,N/A
TI 65391,SFr. 350,N/A,N/A,N/A
TI 76628,SFr. 400,N/A,N/A,N/A
TI 90135,SFr. 300,N/A,N/A,N/A
TI 97169,SFr. 350,N/A,N/A,N/A
TI 241666,SFr. 200,N/A,N/A,N/A
