plate_number,starting_price,current_offer,time_to_go,offers_number
TI 683,N/A,SFr. 16'000, 02.09.2026,8
TI 8995,N/A,SFr. 9'000, 06.09.2026,14
TI 10712,N/A,SFr. 1'050, 02.09.2026,5
TI 339889,N/A,SFr. 400, 06.09.2026,0
TI 43698,SFr. 400,N/A,N/A,N/A
TI 47896,SFr. 400,N/A,N/A,N/A
TI 59867,SFr. 350,N/A,N/A,N/A
TI 63846,SFr. 400,N/A,N/A,N/A
TI 72189,SFr. 300,N/A,N/A,N/A
TI 76628,SFr. 400,N/A,N/A,N/A
TI 96829,SFr. 350,N/A,N/A,N/A
TI 111932,SFr. 200,N/A,N/A,N/A
