plate_number,starting_price,current_offer,time_to_go,offers_number
TI 569,N/A,SFr. 12'000, 12.07.2026,5
TI 328283,N/A,SFr. 600, 12.07.2026,1
TI 43698,SFr. 400,N/A,N/A,N/A
TI 47896,SFr. 400,N/A,N/A,N/A
TI 59867,SFr. 350,N/A,N/A,N/A
TI 63846,SFr. 400,N/A,N/A,N/A
TI 72189,SFr. 300,N/A,N/A,N/A
TI 76628,SFr. 400,N/A,N/A,N/A
TI 96829,SFr. 350,N/A,N/A,N/A
TI 111932,SFr. 200,N/A,N/A,N/A
