plate_number,starting_price,current_offer,time_to_go,offers_number
TI 342,N/A,SFr. 20'000, 20.05.2026,5
TI 6880,N/A,SFr. 2'100, 24.05.2026,2
TI 58585,N/A,SFr. 850, 24.05.2026,1
TI 336611,N/A,SFr. 650, 20.05.2026,1
TI 20671,SFr. 550,N/A,N/A,N/A
TI 46914,SFr. 450,N/A,N/A,N/A
TI 47896,SFr. 400,N/A,N/A,N/A
TI 50936,SFr. 350,N/A,N/A,N/A
TI 63846,SFr. 400,N/A,N/A,N/A
TI 65391,SFr. 350,N/A,N/A,N/A
TI 70932,SFr. 300,N/A,N/A,N/A
TI 79801,SFr. 300,N/A,N/A,N/A
TI 92719,SFr. 350,N/A,N/A,N/A
TI 136555,SFr. 200,N/A,N/A,N/A
