plate_number,starting_price,current_offer,time_to_go,offers_number
TI 836,N/A,SFr. 6'500, 31.05.2026,1
TI 6880,N/A,SFr. 8'000, 24.05.2026,12
TI 58585,N/A,SFr. 1'700, 24.05.2026,8
TI 267777,N/A,SFr. 600, 31.05.2026,0
TI 46914,SFr. 450,N/A,N/A,N/A
TI 47896,SFr. 400,N/A,N/A,N/A
TI 63846,SFr. 400,N/A,N/A,N/A
TI 65391,SFr. 350,N/A,N/A,N/A
TI 136555,SFr. 200,N/A,N/A,N/A
