plate_number,starting_price,current_offer,time_to_go,offers_number
TI 342,N/A,SFr. 20'000, 20.05.2026,5
TI 6880,N/A,SFr. 7'100, 24.05.2026,11
TI 58585,N/A,SFr. 1'600, 24.05.2026,6
TI 336611,N/A,SFr. 700, 20.05.2026,2
TI 46914,SFr. 450,N/A,N/A,N/A
TI 47896,SFr. 400,N/A,N/A,N/A
TI 63846,SFr. 400,N/A,N/A,N/A
TI 65391,SFr. 350,N/A,N/A,N/A
TI 136555,SFr. 200,N/A,N/A,N/A
